"","X","location","OA"
"1","LeNet","IKONOS","88.98"
"2","ResNet","IKONOS","96.00*"
"3","FCN","IKONOS","91.52"
"4","SegNet","IKONOS","95.25"
"5","MSNN","IKONOS","89.25"
"6","WCRN","IKONOS","95.71"
"7","RNN with LSTM","IKONOS","94.90"
"8","RNN with GRU","IKONOS","93.02"
"9","DRRNN with LSTM","IKONOS","96.49 (8)"
"10","DRRNN with GRU","IKONOS","97.18 (10)"
"11","LeNet","ROSIS","89.81"
"12","ResNet","ROSIS","97.35*"
"13","FCN","ROSIS","91.95"
"14","SegNet","ROSIS","97.18"
"15","MSNN","ROSIS","88.70"
"16","WCRN","ROSIS","94.38"
"17","RNN with LSTM","ROSIS","96.04"
"18","RNN with GRU","ROSIS","94.29"
"19","DRRNN with LSTM","ROSIS","98.67 (10)"
"20","DRRNN with GRU","ROSIS","98.40 (10)"
"21","LeNet","Landsat","91.68"
"22","ResNet","Landsat","97.09"
"23","FCN","Landsat","92.43"
"24","SegNet","Landsat","94.27"
"25","MSNN","Landsat","93.47"
"26","WCRN","Landsat","93.92"
"27","RNN with LSTM","Landsat","97.74*"
"28","RNN with GRU","Landsat","97.74"
"29","DRRNN with LSTM","Landsat","98.63 (10)"
"30","DRRNN with GRU","Landsat","98.69 (10)"
"31","LeNet","GF.2","82.86"
"32","ResNet","GF.2","84.47"
"33","FCN","GF.2","82.88"
"34","SegNet","GF.2","84.31"
"35","MSNN","GF.2","84.60"
"36","WCRN","GF.2","84.72*"
"37","RNN with LSTM","GF.2","83.02"
"38","RNN with GRU","GF.2","83.18"
"39","DRRNN with LSTM","GF.2","89.62 (10)"
"40","DRRNN with GRU","GF.2","89.88 (10)"
"41","LeNet","WV.3","79.78"
"42","ResNet","WV.3","83.91"
"43","FCN","WV.3","81.23"
"44","SegNet","WV.3","83.28"
"45","MSNN","WV.3","84.89*"
"46","WCRN","WV.3","84.39"
"47","RNN with LSTM","WV.3","81.93"
"48","RNN with GRU","WV.3","80.31"
"49","DRRNN with LSTM","WV.3","87.29 (10)"
"50","DRRNN with GRU","WV.3","87.00 (10)"
